TIME,TEMPERATURE_IN_BME,TEMPERATURE_IN_SCD,TEMPERATURE_IN_DS,TEMPERATURE_OUT_BME,TEMPERATURE_OUT_SCD,TEMPERATURE_OUT_DS,TEMPERATURE_OUT_SFM,TEMPERATURE_C_BME,TEMPERATURE_C1_DS,TEMPERATURE_C2_DS,TEMPERATURE_C3_DS,HUMIDITY_IN_BME,HUMIDITY_IN_SCD,HUMIDITY_OUT_BME,HUMIDITY_OUT_SCD,CO2_IN_SCD,CO2_OUT_SCD,PRESSURE_IN_BME ,PRESSURE_OUT_BME,PRESSURE_C_BME,AIRFLOW_OUT_SFM
Tue Sep  6 05:23:45 2022,19.2,20.401695251464844,19.187,24.2,24.786376953125,23.125,24.7,23.6,23.125,22.875,23.25,69.0 %,66.4337158203125,58.8 %,64.93682861328125,506.98443603515625,814.8244018554688,995.008,995.172,995.522,35.917647058823526
Tue Sep  6 05:24:45 2022,19.2,20.444419860839844,19.187,24.2,24.786376953125,23.125,24.66,23.6,23.125,22.875,23.187,69.1 %,66.2261962890625,58.8 %,65.04058837890625,505.49444580078125,819.383544921875,995.080,995.150,995.489,36.694117647058825
Tue Sep  6 05:25:45 2022,19.3,20.444419860839844,19.25,24.1,24.757003784179688,23.125,24.66,23.6,23.125,22.875,23.25,69.0 %,66.11328125,58.8 %,65.032958984375,506.4370422363281,819.0850219726562,994.991,995.123,995.459,36.62352941176471
Tue Sep  6 05:26:45 2022,19.3,20.388343811035156,19.25,24.1,24.727622985839844,23.125,24.61,23.5,23.125,22.875,23.187,68.9 %,66.534423828125,58.9 %,65.17333984375,505.804443359375,820.4510498046875,995.022,995.095,995.500,35.89411764705882
Tue Sep  6 05:27:46 2022,19.2,20.345619201660156,19.187,24.1,24.757003784179688,23.125,24.605,23.5,23.125,22.875,23.187,68.9 %,66.455078125,58.8 %,64.91851806640625,502.5404052734375,820.3217163085938,995.021,995.162,995.465,36.00588235294118
Tue Sep  6 05:28:46 2022,19.2,20.302894592285156,19.125,24.1,24.727622985839844,23.125,24.625,23.5,23.125,22.875,23.187,69.1 %,66.6656494140625,59.0 %,65.3289794921875,501.30615234375,823.4929809570312,995.021,995.157,995.510,36.423529411764704
Tue Sep  6 05:29:46 2022,19.1,20.23345947265625,19.125,24.1,24.727622985839844,23.125,24.625,23.5,23.125,22.875,23.187,69.3 %,66.949462890625,59.0 %,65.49530029296875,501.84814453125,824.3140258789062,995.061,995.157,995.513,37.05294117647059
Tue Sep  6 05:30:46 2022,19.1,20.161361694335938,19.062,24.1,24.714271545410156,23.125,24.715,23.5,23.125,22.875,23.187,69.4 %,67.28973388671875,59.2 %,65.576171875,502.4985656738281,825.0869140625,995.052,995.187,995.535,36.84705882352941
Tue Sep  6 05:31:47 2022,19.1,20.118637084960938,19.062,24.1,24.714271545410156,23.062,24.645,23.5,23.062,22.875,23.187,69.5 %,67.3126220703125,59.2 %,65.52276611328125,503.88848876953125,823.4034423828125,995.084,995.234,995.532,36.98823529411764
Tue Sep  6 05:32:47 2022,19.0,20.118637084960938,19.062,24.1,24.74364471435547,23.062,24.655,23.5,23.062,22.875,23.187,69.6 %,67.41180419921875,59.1 %,65.46783447265625,508.3137512207031,819.0933227539062,995.041,995.205,995.516,36.56470588235294
Tue Sep  6 05:33:47 2022,19.1,20.118637084960938,19.062,24.1,24.714271545410156,23.125,24.625,23.5,23.062,22.875,23.187,69.5 %,67.047119140625,59.1 %,65.472412109375,508.0300598144531,815.7666015625,995.088,995.244,995.540,36.21176470588235
